Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
110001,Norte,RO,Leste Rondoniense,Cacoal,ALTA FLORESTA D'OESTE,0.6091390645962356,0.683441344846226,0.4073225622272738,0.7366532867152071,Moderado
110002,Norte,RO,Leste Rondoniense,Ariquemes,ARIQUEMES,0.7530487809041309,0.7812627887722423,0.6127157410496735,0.865167812890477,Moderado
110003,Norte,RO,Leste Rondoniense,Colorado do Oeste,CABIXI,0.5910302320430123,0.7349785292107274,0.3363254621509221,0.7017867047673874,Regular
110004,Norte,RO,Leste Rondoniense,Cacoal,CACOAL,0.7482547375806604,0.7886573308453485,0.5773142238552993,0.8787926580413336,Moderado
110005,Norte,RO,Leste Rondoniense,Colorado do Oeste,CEREJEIRAS,0.6636452962982959,0.785997907586087,0.5298402912627056,0.6750976900460955,Moderado
110006,Norte,RO,Leste Rondoniense,Colorado do Oeste,COLORADO DO OESTE,0.6586079128966902,0.7706945753911321,0.4022341047677679,0.8028950585311709,Moderado
110007,Norte,RO,Leste Rondoniense,Colorado do Oeste,CORUMBIARA,0.6796218025949788,0.6988212957337552,0.5271392551758096,0.8129048568753718,Moderado
110008,Norte,RO,Madeira-Guaporé,Guajará-Mirim,COSTA MARQUES,0.5701177528962521,0.6178277962347729,0.4339553455593895,0.6585701168945939,Regular
110009,Norte,RO,Leste Rondoniense,Cacoal,ESPIGÃO D'OESTE,0.6600343019236956,0.738989795675993,0.5617159377187704,0.6793971723763237,Moderado
110010,Norte,RO,Madeira-Guaporé,Guajará-Mirim,GUAJARÁ-MIRIM,0.5506126223409459,0.6590081992025071,0.391793891814086,0.6010357760062448,Regular
110011,Norte,RO,Leste Rondoniense,Ji-Paraná,JARU,0.6709032494587812,0.7408701614452546,0.4732938964220916,0.7985456905089974,Moderado
110012,Norte,RO,Leste Rondoniense,Ji-Paraná,JI-PARANÁ,0.7729208207748157,0.7324118422208725,0.7384579073534351,0.8478927127501398,Moderado
110013,Norte,RO,Leste Rondoniense,Ariquemes,MACHADINHO D'OESTE,0.5533465446416954,0.664758803170719,0.2903951766710244,0.7048856540833428,Regular
110014,Norte,RO,Leste Rondoniense,Alvorada D'Oeste,NOVA BRASILÂNDIA D'OESTE,0.5756919949361183,0.7767841643612622,0.2821724205345761,0.668119399912517,Regular
