mun,nome_micro,nome_meso
110001,Cacoal,Leste Rondoniense
110002,Ariquemes,Leste Rondoniense
110003,Colorado do Oeste,Leste Rondoniense
110004,Cacoal,Leste Rondoniense
110005,Colorado do Oeste,Leste Rondoniense
110006,Colorado do Oeste,Leste Rondoniense
110007,Colorado do Oeste,Leste Rondoniense
110008,Guajará-Mirim,Madeira-Guaporé
110009,Cacoal,Leste Rondoniense
110010,Guajará-Mirim,Madeira-Guaporé
110011,Ji-Paraná,Leste Rondoniense
110012,Ji-Paraná,Leste Rondoniense
110013,Ariquemes,Leste Rondoniense
110014,Alvorada D'Oeste,Leste Rondoniense
110015,Ji-Paraná,Leste Rondoniense
110018,Vilhena,Leste Rondoniense
110020,Porto Velho,Madeira-Guaporé
110025,Ji-Paraná,Leste Rondoniense
110026,Ariquemes,Leste Rondoniense
110028,Cacoal,Leste Rondoniense
110029,Cacoal,Leste Rondoniense
110030,Vilhena,Leste Rondoniense
110032,Alvorada D'Oeste,Leste Rondoniense
110033,Porto Velho,Madeira-Guaporé
110034,Alvorada D'Oeste,Leste Rondoniense
110037,Cacoal,Leste Rondoniense
110040,Ariquemes,Leste Rondoniense
110045,Porto Velho,Madeira-Guaporé
110050,Cacoal,Leste Rondoniense
110060,Ariquemes,Leste Rondoniense
110070,Porto Velho,Madeira-Guaporé
110080,Porto Velho,Madeira-Guaporé
110090,Cacoal,Leste Rondoniense
110092,Vilhena,Leste Rondoniense
110094,Porto Velho,Madeira-Guaporé
110100,Ji-Paraná,Leste Rondoniense
110110,Porto Velho,Madeira-Guaporé
110120,Cacoal,Leste Rondoniense
110130,Ji-Paraná,Leste Rondoniense
110140,Ariquemes,Leste Rondoniense
110143,Ji-Paraná,Leste Rondoniense
110145,Vilhena,Leste Rondoniense
110146,Colorado do Oeste,Leste Rondoniense
110147,Vilhena,Leste Rondoniense
110148,Vilhena,Leste Rondoniense
110149,Guajará-Mirim,Madeira-Guaporé
110150,Alvorada D'Oeste,Leste Rondoniense
110155,Ji-Paraná,Leste Rondoniense
110160,Ji-Paraná,Leste Rondoniense
110170,Ji-Paraná,Leste Rondoniense
110175,Ariquemes,Leste Rondoniense
110180,Ji-Paraná,Leste Rondoniense
120001,Rio Branco,Vale do Acre
120005,Brasiléia,Vale do Acre
